company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
7729,케이씨에이손해사정(주),2.5,155,2.5,2.1,2.9,2.9,2.3,2.1,26%,34%,8%,케이씨에이
312971,(주)세일창조,2.0,84,2.0,2.4,1.8,1.9,2.3,1.7,18%,21%,17%,세일창조
465116,(주)태조상사,1.0,1,1.0,1.0,3.0,2.0,1.0,2.0,0%,0%,0%,태조상사
232865,태원니들(주),1.5,2,1.5,1.0,3.5,2.5,1.5,2.5,0%,0%,0%,태원니들
349918,특수법인 송파문화원,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,송파문화원
380716,(주)콘텐츠쿡,1.2,6,1.2,1.3,2.2,1.5,1.2,1.0,0%,0%,0%,콘텐츠쿡
136964,코드원(주),2.4,10,2.4,1.8,2.6,1.8,1.8,2.0,20%,30%,10%,코드원
28233,서진산업(주),1.9,509,1.9,2.5,1.7,1.7,2.0,1.8,17%,21%,13%,서진
38421,한국앱티브커넥션시스템즈유한책임회사,2.5,164,2.5,2.2,3.1,2.6,2.6,2.0,33%,36%,17%,한국앱티브
75996,백일,3.5,2,3.5,2.5,4.0,4.0,2.0,3.0,50%,100%,100%,백일
137350,광일종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,광일종합건설
226977,주원푸드(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,주원푸드
40294,디엘(주),3.2,621,3.2,3.3,2.9,3.1,3.0,2.4,52%,32%,22%,대림
295423,부창텍스피아(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,부창텍스피아
386955,(주)디렉터마켓,2.9,7,2.9,2.9,3.3,2.9,3.4,3.0,57%,43%,43%,디렉터마켓
152206,유한팩(주),1.8,12,1.8,2.6,1.9,1.8,2.4,2.0,8%,8%,8%,유한팩
403268,(주)케이와이로지스틱,1.0,2,1.0,1.0,1.5,1.0,1.0,1.0,0%,0%,0%,와이로지스
398529,건축사사무소알엔케이(주),1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,건축사사무소알엔케이
256568,성은건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,성은건설
332299,(주)장흥비아이티,1.4,11,1.4,1.3,1.2,1.2,1.4,1.5,0%,18%,0%,장흥비아이티
52076,타워랜드,1.0,2,1.0,2.0,2.0,1.5,1.0,1.5,0%,0%,0%,타워랜드
49867,풍기인견편직(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,풍기인견편직
253263,(주)나우테크,2.0,66,2.0,1.7,2.6,2.0,2.0,1.5,9%,9%,2%,나우테크
